"row_id","player_name","marketval","position_tm","competition","team","Name.Wyscout"
"580","Diego López",NA,"Goalkeeper","Spanish first division","Espanyol","Diego López"
"581","Diego Perotti",20000000,"Left Winger","Italian first division","Roma","D. Perotti"
"582","Diego Rico",2500000,"Left-Back","Spanish first division","Leganés","Diego Rico"
"583","Diego Rolán",3500000,"Centre-Forward","Spanish first division","Málaga","D. Rolán"
"584","Dimitri Foulquier",2000000,"Right-Back","French first division","Strasbourg","D. Foulquier"
"585","Dimitri Liénard",2000000,"Left Midfield","French first division","Strasbourg","D. Liénard"
"586","Dimitrios Siovas",3000000,"Centre-Back","Spanish first division","Leganés","D. Siovas"
"587","Divock Origi",10000000,"Centre-Forward","English first division","Liverpool","D. Origi"
"588","Djené",15000000,"Centre-Back","Spanish first division","Getafe","Djené"
"589","Djibril Sidibé",23000000,"Right-Back","French first division","Monaco","D. Sidibé"
"590","Dodi Lukébakio",3000000,"Right Winger","English first division","Watford","D. Lukebakio"
"591","Domenico Berardi",18000000,"Right Winger","Italian first division","Sassuolo","D. Berardi"
"592","Domenico Maietta",NA,"Centre-Back","Italian first division","Bologna","D. Maietta"
"593","Dominic Calvert-Lewin",15000000,"Centre-Forward","English first division","Everton","D. Calvert-Lewin"
"594","Dominic Maroh",1000000,"Centre-Back","German first division","Köln","D. Maroh"
"595","Dominic Solanke",10000000,"Centre-Forward","English first division","Liverpool","D. Solanke"
"596","Dominik Kaiser",1500000,"Central Midfield","German first division","RB Leipzig","D. Kaiser"
"597","Dominik Kohr",5000000,"Central Midfield","German first division","Bayer Leverkusen","D. Kohr"
"598","Dominique Heintz",7500000,"Centre-Back","German first division","Köln","D. Heintz"
"599","Dong-won Ji",1000000,"Centre-Forward","German first division","Augsburg","Dong-Won Ji"
"600","Douglas Costa",55000000,"Right Winger","Italian first division","Juventus","Douglas Costa"
"601","Douglas Luiz",1500000,"Central Midfield","Spanish first division","Girona","Douglas Luiz"
"602","Douglas Santos",5000000,"Left-Back","German first division","Hamburger SV","Douglas Santos"
"603","Driss Khalid",NA,"Attacking Midfield","French first division","Toulouse","D. Khalid"
"604","Durel Avounou",NA,"Central Midfield","French first division","Caen","D. Avounou"
"605","Dusan Basta",1000000,"Right-Back","Italian first division","Lazio","D. Basta"
"606","Dusan Tadić",15000000,"Left Winger","English first division","Southampton","D. Tadić"
"607","Duván Zapata",20000000,"Centre-Forward","Italian first division","Sampdoria","D. Zapata"
"608","Dwight Gayle",10000000,"Centre-Forward","English first division","Newcastle United","D. Gayle"
"609","Dwight McNeil",NA,"Left Winger","English first division","Burnley","D. McNeil"
"610","Dylan Bahamboula",NA,"Attacking Midfield","French first division","Dijon","D. Bahamboula"
"611","Dylan Lempereur",NA,"Left-Back","French first division","Metz","D. Lempereur"
"612","Dzenis Burnic",NA,"Defensive Midfield","German first division","Stuttgart","D. Burnic"
"613","Ebenezer Ofori",1000000,"Defensive Midfield","German first division","Stuttgart","E. Ofori"
"614","Eddie Nketiah",NA,"Centre-Forward","English first division","Arsenal","E. Nketiah"
"615","Eddie Salcedo",2000000,"Centre-Forward","Italian first division","Genoa","E. Salcedo"
"616","Eden Hazard",110000000,"Left Winger","English first division","Chelsea","E. Hazard"
"617","Eden Massouema",NA,"Defensive Midfield","French first division","Dijon","E. Massouema"
"618","Ederson",50000000,"Goalkeeper","English first division","Manchester City","Ederson"
"619","Édgar Barreto",1000000,"Central Midfield","Italian first division","Sampdoria","É. Barreto"
"620","Edgar Ié",3000000,"Centre-Back","French first division","Lille","Edgar Ié"
"621","Edimilson Fernandes",5000000,"Central Midfield","English first division","West Ham United","E. Fernandes"
"622","Edin Dzeko",25000000,"Centre-Forward","Italian first division","Roma","E. Džeko"
"623","Edinson Cavani",60000000,"Centre-Forward","French first division","PSG","E. Cavani"
"624","Edoardo Goldaniga",3000000,"Centre-Back","Italian first division","Sassuolo","E. Goldaniga"
"625","Edu Expósito",NA,"Central Midfield","Spanish first division","Deportivo La Coruña","Edu Expósito"
"626","Eiji Kawashima",NA,"Goalkeeper","French first division","Metz","E. Kawashima"
"627","Eldin Jakupovic",1000000,"Goalkeeper","English first division","Leicester City","E. Jakupovic"
"628","Eliaquim Mangala",15000000,"Centre-Back","English first division","Manchester City","E. Mangala"
"629","Elias Kachunga",3500000,"Centre-Forward","English first division","Huddersfield Town","E. Kachunga"
"630","Elio Capradossi",NA,"Centre-Back","Italian first division","Roma","E. Capradossi"
"631","Ellyes Skhiri",10000000,"Defensive Midfield","French first division","Montpellier","E. Skhiri"
"632","Eloi Amagat",NA,"Attacking Midfield","Spanish first division","Girona","Eloi Amagat"
"633","Elvis Rexhbecaj",NA,"Central Midfield","German first division","Wolfsburg","E. Rexhbecaj"
"634","Emanuel Cecchini",1500000,"Defensive Midfield","Spanish first division","Málaga","E. Cecchini"
"635","Emanuele Torrasi",NA,"Central Midfield","Italian first division","Milan","E. Torrasi"
"636","Emerson",20000000,"Left-Back","English first division","Chelsea","Emerson"
"637","Emerson Hyndman",1000000,"Central Midfield","English first division","AFC Bournemouth","E. Hyndman"
"638","Emil Berggreen",2000000,"Centre-Forward","German first division","Mainz 05","E. Berggreen"
"639","Emil Krafth",1500000,"Right-Back","Italian first division","Bologna","E. Krafth"
"640","Emiliano Insúa",5000000,"Centre-Back","German first division","Stuttgart","E. Insúa"
"641","Emiliano Martínez",1000000,"Goalkeeper","Spanish first division","Getafe","E. Martínez"
"642","Emiliano Moretti",NA,"Centre-Back","Italian first division","Torino","E. Moretti"
"643","Emiliano Sala",12000000,"Centre-Forward","French first division","Nantes","E. Sala"
"644","Emiliano Viviano",2000000,"Goalkeeper","Italian first division","Sampdoria","E. Viviano"
"645","Emmanuel Boateng",2000000,"Left Winger","Spanish first division","Levante","E. Boateng"
"646","Emmanuel Bourgaud",NA,"Right Midfield","French first division","Amiens SC","E. Bourgaud"
"647","Emmanuel Imorou",NA,"Left-Back","French first division","Caen","E. Imorou"
"648","Emmanuel Rivière",1500000,"Centre-Forward","French first division","Metz","E. Rivière"
"649","Emre Can",30000000,"Defensive Midfield","English first division","Liverpool","E. Can"
"650","Eneko Bóveda",1500000,"Centre-Back","Spanish first division","Athletic Club","Bóveda"
"651","Enes Ünal",8000000,"Centre-Forward","Spanish first division","Villarreal","E. Ünal"
"652","Enis Bardhi",6000000,"Attacking Midfield","Spanish first division","Levante","E. Bardhi"
"653","Enock Kwateng",NA,"Right-Back","French first division","Nantes","E. Kwateng"
"654","Enric Saborit",NA,"Left-Back","Spanish first division","Athletic Club","Saborit"
"655","Enrico Bearzotti",NA,"Right-Back","Italian first division","Hellas Verona","E. Bearzotti"
"656","Enrico Brignola",2500000,"Second Striker","Italian first division","Benevento","E. Brignola"
"657","Enzo Crivelli",4000000,"Centre-Forward","French first division","Angers","E. Crivelli"
"658","Enzo Loiodice",NA,"Central Midfield","French first division","Dijon","E. Loiodice"
"659","Enzo Zidane",1500000,"Attacking Midfield","Spanish first division","Deportivo Alavés","E. Zidane"
"660","Eric Bailly",35000000,"Centre-Back","English first division","Manchester United","E. Bailly"
"661","Eric Dier",40000000,"Centre-Back","English first division","Tottenham Hotspur","E. Dier"
"662","Eric Maxim Choupo-Moting",8000000,"Centre-Forward","English first division","Stoke City","E. Choupo-Moting"
"663","Erick Cabaco",1500000,"Centre-Back","Spanish first division","Levante","E. Cabaco"
"664","Erick Pulgar",6000000,"Defensive Midfield","Italian first division","Bologna","E. Pulgar"
"665","Erik Expósito",NA,"Centre-Forward","Spanish first division","Las Palmas","Erik Expósito"
"666","Erik Lamela",20000000,"Right Winger","English first division","Tottenham Hotspur","E. Lamela"
"667","Erik Morán",NA,"Defensive Midfield","Spanish first division","Leganés","Erik Morán"
"668","Erik Pieters",6000000,"Centre-Back","English first division","Stoke City","E. Pieters"
"669","Erik Thommy",5000000,"Attacking Midfield","German first division","Augsburg","E. Thommy"
"670","Ermedin Demirovic",1000000,"Centre-Forward","Spanish first division","Deportivo Alavés","E. Demirović"
"671","Ermin Bicakcic",2000000,"Centre-Back","German first division","Hoffenheim","E. Bičakčić"
"672","Ernest Seka",NA,"Centre-Back","French first division","Strasbourg","E. Seka"
"673","Eros Schiavon",NA,"Central Midfield","Italian first division","SPAL","E. Schiavon"
"674","Ervin Taha",NA,"Centre-Forward","French first division","Bordeaux","E. Taha"
"675","Ervin Zukanovic",2000000,"Centre-Back","Italian first division","Genoa","E. Zukanović"
"676","Erwin Zelazny",NA,"Goalkeeper","French first division","Troyes","E. Zelazny"
"677","Esteban Granero",1500000,"Central Midfield","Spanish first division","Espanyol","Granero"
"678","Esteban Rolón",NA,"Defensive Midfield","Spanish first division","Málaga","E. Rolón"
"679","Ethan Ampadu",5000000,"Centre-Back","English first division","Chelsea","E. Ampadu"
"680","Étienne Capoue",8000000,"Defensive Midfield","English first division","Watford","E. Capoue"
"681","Étienne Didot",NA,"Central Midfield","French first division","Guingamp","É. Didot"
"682","Eugen Polanski",1000000,"Defensive Midfield","German first division","Hoffenheim","E. Polanski"
"683","Eugenio Lamanna",1000000,"Goalkeeper","Italian first division","Genoa","E. Lamanna"
"684","Éver Banega",12000000,"Central Midfield","Spanish first division","Sevilla","É. Banega"
"685","Everton Luiz",2000000,"Defensive Midfield","Italian first division","SPAL","Everton Luiz"
"686","Ezequiel Garay",12000000,"Centre-Back","Spanish first division","Valencia","E. Garay"
"687","Ezequiel Muñoz",1500000,"Centre-Back","Spanish first division","Leganés","E. Muñoz"
"688","Ezequiel Ponce",2500000,"Centre-Forward","French first division","Lille","E. Ponce"
"689","Ezequiel Schelotto",4500000,"Right-Back","English first division","Brighton & Hove Albion","E. Schelotto"
"690","Fabian Delph",15000000,"Central Midfield","English first division","Manchester City","F. Delph"
"691","Fabian Johnson",4500000,"Left Winger","German first division","Borussia M'gladbach","F. Johnson"
"692","Fabian Lustenberger",2500000,"Centre-Back","German first division","Hertha BSC","F. Lustenberger"
"693","Fabián Orellana",2000000,"Right Winger","Spanish first division","Eibar","F. Orellana"
"694","Fabian Reese",NA,"Left Winger","German first division","Schalke 04","F. Reese"
"695","Fabián Ruiz",20000000,"Central Midfield","Spanish first division","Real Betis","Fabián"
"696","Fabinho",45000000,"Defensive Midfield","French first division","Monaco","Fabinho"
"697","Fabio Borini",7000000,"Left Winger","Italian first division","Milan","F. Borini"
"698","Fabio Ceravolo",2000000,"Centre-Forward","Italian first division","Benevento","F. Ceravolo"
"699","Fabio Depaoli",1800000,"Right-Back","Italian first division","Chievo","F. Depaoli"
"700","Fabio González",NA,"Central Midfield","Spanish first division","Las Palmas","Fabio González"
"701","Fabio Lucioni",NA,"Centre-Back","Italian first division","Benevento","F. Lucioni"
"702","Fabio Pisacane",NA,"Centre-Back","Italian first division","Cagliari","F. Pisacane"
"703","Fabio Quagliarella",2000000,"Centre-Forward","Italian first division","Sampdoria","F. Quagliarella"
"704","Fabrizio Cacciatore",1200000,"Right-Back","Italian first division","Chievo","F. Cacciatore"
"705","Fabrizio Caligara",1000000,"Central Midfield","Italian first division","Cagliari","F. Caligara"
"706","Facundo Píriz",1500000,"Defensive Midfield","French first division","Montpellier","F. Píriz"
"707","Facundo Roncaglia",3000000,"Centre-Back","Spanish first division","Celta de Vigo","F. Roncaglia"
"708","Fahad Al-Muwallad",1000000,"Right Winger","Spanish first division","Levante","Fahad Al Muwallad"
"709","Faitout Maouassa",4500000,"Left-Back","French first division","Rennes","F. Maouassa"
"710","Fallou Diagne",1500000,"Centre-Back","French first division","Metz","F. Diagne"
"711","Faouzi Ghoulam",25000000,"Left-Back","Italian first division","Napoli","F. Ghoulam"
"712","Farès Bahlouli",NA,"Attacking Midfield","French first division","Lille","F. Bahlouli"
"713","Farid Boulaya",NA,"Attacking Midfield","French first division","Metz","F. Boulaya"
"714","Fayçal Fajr",2500000,"Central Midfield","Spanish first division","Getafe","F. Fajr"
"715","Fede Cartabia",2000000,"Right Winger","Spanish first division","Deportivo La Coruña","Fede Cartabia"
"716","Federico Bonazzoli",1500000,"Centre-Forward","Italian first division","Sampdoria","F. Bonazzoli"
"717","Federico Ceccherini",2800000,"Centre-Back","Italian first division","Crotone","F. Ceccherini"
"718","Federico Chiesa",45000000,"Left Winger","Italian first division","Fiorentina","F. Chiesa"
"719","Federico Di Francesco",3500000,"Left Winger","Italian first division","Bologna","F. Di Francesco"
"720","Federico Fazio",13000000,"Centre-Back","Italian first division","Roma","F. Fazio"
"721","Federico Fernández",8000000,"Centre-Back","English first division","Swansea City","F. Fernández"
"722","Federico Mattiello",2500000,"Right-Back","Italian first division","SPAL","F. Mattiello"
"723","Federico Peluso",NA,"Left-Back","Italian first division","Sassuolo","F. Peluso"
"724","Federico Ricca",1500000,"Centre-Back","Spanish first division","Málaga","F. Ricca"
"725","Federico Ricci",2700000,"Right Winger","Italian first division","Genoa","F. Ricci"
"726","Federico Valverde",6000000,"Central Midfield","Spanish first division","Deportivo La Coruña","F. Valverde"
"727","Federico Viviani",3500000,"Defensive Midfield","Italian first division","SPAL","F. Viviani"
"728","Felipe",NA,"Centre-Back","German first division","Hannover 96","Felipe"
"729","Felipe Anderson",30000000,"Right Winger","Italian first division","Lazio","Felipe Anderson"
"730","Felipe Avenatti",1200000,"Centre-Forward","Italian first division","Bologna","F. Avenatti"
"731","Felipe Caicedo",2500000,"Centre-Forward","Italian first division","Lazio","F. Caicedo"
"732","Félix Eboa Eboa",3000000,"Centre-Back","French first division","Guingamp","F. Eboa Eboa"
"733","Felix Klaus",4500000,"Right Winger","German first division","Hannover 96","F. Klaus"
"734","Felix Passlack",1500000,"Right-Back","German first division","Borussia Dortmund","F. Passlack"
"735","Felix Uduokhai",8000000,"Centre-Back","German first division","Wolfsburg","F. Uduokhai"
"736","Ferland Mendy",12000000,"Left-Back","French first division","Olympique Lyonnais","F. Mendy"
"737","Fernandinho",15000000,"Defensive Midfield","English first division","Manchester City","Fernandinho"
"738","Fernando Llorente",7000000,"Centre-Forward","English first division","Tottenham Hotspur","Fernando Llorente"
"739","Fernando Navarro",NA,"Left-Back","Spanish first division","Deportivo La Coruña","Fernando Navarro"
"740","Fernando Pacheco",9000000,"Goalkeeper","Spanish first division","Deportivo Alavés","Fernando Pacheco"
"741","Fernando Torres",4000000,"Centre-Forward","Spanish first division","Atlético Madrid","Fernando Torres"
"742","Ferran Torres",5000000,"Left Winger","Spanish first division","Valencia","Ferrán Torres"
"743","Fiete Arp",7500000,"Centre-Forward","German first division","Hamburger SV","J. Arp"
"744","Filip Djuricic",1500000,"Attacking Midfield","Italian first division","Sampdoria","F. Đuričić"
"745","Filip Helander",2500000,"Centre-Back","Italian first division","Bologna","F. Helander"
"746","Filip Kusic",NA,"Centre-Back","German first division","Köln","F. Kusič"
"747","Filipe Luís",8000000,"Left-Back","Spanish first division","Atlético Madrid","Filipe Luis"
"748","Filippo Costa",1000000,"Left-Back","Italian first division","SPAL","F. Costa"
"749","Filippo Romagna",7000000,"Centre-Back","Italian first division","Cagliari","F. Romagna"
"750","Fin Bartels",2500000,"Right Winger","German first division","Werder Bremen","F. Bartels"
"751","Firmin Mubele",6000000,"Centre-Forward","French first division","Rennes","F. Mubele"
"752","Flavien Tait",5000000,"Central Midfield","French first division","Angers","F. Tait"
"753","Florent Balmont",NA,"Central Midfield","French first division","Dijon","F. Balmont"
"754","Florent Hadergjonaj",5000000,"Right-Back","English first division","Huddersfield Town","F. Hadergjonaj"
"755","Florent Mollet",1250000,"Attacking Midfield","French first division","Metz","F. Mollet"
"756","Florentin Pogba",1500000,"Centre-Back","French first division","Saint-Étienne","F. Pogba"
"757","Florian Grillitsch",10000000,"Defensive Midfield","German first division","Hoffenheim","F. Grillitsch"
"758","Florian Hübner",NA,"Centre-Back","German first division","Hannover 96","F. Hübner"
"759","Florian Kainz",4000000,"Left Winger","German first division","Werder Bremen","F. Kainz"
"760","Florian Kath",NA,"Left Winger","German first division","Freiburg","F. Kath"
"761","Florian Lejeune",8000000,"Centre-Back","English first division","Newcastle United","F. Lejeune"
"762","Florian Mayer",NA,"Centre-Back","German first division","Borussia M'gladbach","F. Mayer"
"763","Florian Müller",1000000,"Goalkeeper","German first division","Mainz 05","F. Müller"
"764","Florian Niederlechner",4500000,"Centre-Forward","German first division","Freiburg","F. Niederlechner"
"765","Florian Thauvin",50000000,"Right Winger","French first division","Olympique Marseille","F. Thauvin"
"766","Fodé Ballo-Touré",2000000,"Left-Back","French first division","Lille","F. Touré"
"767","Fouad Chafik",1500000,"Right-Back","French first division","Dijon","F. Chafik"
"768","Fousseni Diabaté",3000000,"Right Winger","English first division","Leicester City","F. Diabaté"
"769","Francesco Acerbi",10000000,"Centre-Back","Italian first division","Sassuolo","F. Acerbi"
"770","Francesco Cassata",3500000,"Central Midfield","Italian first division","Sassuolo","F. Cassata"
"771","Francesco Magnanelli",NA,"Defensive Midfield","Italian first division","Sassuolo","F. Magnanelli"
"772","Francesco Migliore",NA,"Left-Back","Italian first division","Genoa","F. Migliore"
"773","Francesco Rossi",NA,"Goalkeeper","Italian first division","Atalanta","F. Rossi"
"774","Francesco Vicari",2000000,"Centre-Back","Italian first division","SPAL","F. Vicari"
"775","Francesco Zampano",1800000,"Right-Back","Italian first division","Udinese","F. Zampano"
"776","Francis Coquelin",12000000,"Defensive Midfield","English first division","Arsenal","F. Coquelin"
"777","Francis Guerrero",2500000,"Right-Back","Spanish first division","Real Betis","Francis Guerrero"
"778","Francis Uzoho",NA,"Goalkeeper","Spanish first division","Deportivo La Coruña","F. Uzoho"
"779","Francisco Molinero",NA,"Right-Back","Spanish first division","Getafe","Molinero"
"780","Francisco Portillo",2000000,"Right Winger","Spanish first division","Getafe","Portillo"
"781","Franck Evina",NA,"Left Winger","German first division","Bayern München","F. Evina"
"782","Franck Kessié",30000000,"Central Midfield","Italian first division","Milan","F. Kessié"
"783","Franck Ribéry",4000000,"Left Winger","German first division","Bayern München","F. Ribéry"
"784","Franck Tabanou",2000000,"Left-Back","French first division","Guingamp","F. Tabanou"
"785","Franco Di Santo",2500000,"Centre-Forward","German first division","Schalke 04","F. Di Santo"
"786","Franco Vázquez",7500000,"Attacking Midfield","Spanish first division","Sevilla","F. Vázquez"
"787","Franco Zuculini",NA,"Central Midfield","Italian first division","Hellas Verona","F. Zuculini"
"788","François Bellugou",1500000,"Defensive Midfield","French first division","Troyes","F. Bellugou"
"789","François Kamano",7000000,"Left Winger","French first division","Bordeaux","F. Kamano"
"790","François Moubandje",2500000,"Left-Back","French first division","Toulouse","F. Moubandje"
"791","Fraser Forster",15000000,"Goalkeeper","English first division","Southampton","F. Forster"
"792","Freddie Ladapo",NA,"Centre-Forward","English first division","Crystal Palace","F. Ladapo"
"793","Frédéric Guilbert",6000000,"Right-Back","French first division","Caen","F. Guilbert"
"794","Frédéric Sammaritano",1000000,"Attacking Midfield","French first division","Dijon","F. Sammaritano"
"795","Frederik Sörensen",4500000,"Centre-Back","German first division","Köln","F. Sørensen"
"796","Gabi",3000000,"Central Midfield","Spanish first division","Atlético Madrid","Gabi"
"797","Gabriel Jesus",80000000,"Centre-Forward","English first division","Manchester City","Gabriel Jesus"
"798","Gabriel Magalhães",NA,"Centre-Back","French first division","Troyes","Gabriel"
"799","Gabriel Mercado",5000000,"Centre-Back","Spanish first division","Sevilla","G. Mercado"
"800","Gabriel Peñalba",NA,"Central Midfield","Spanish first division","Las Palmas","G. Peñalba"
"801","Gabriel Silva",2500000,"Left-Back","French first division","Saint-Étienne","Gabriel Silva"
"802","Gabriele Angella",1000000,"Centre-Back","Italian first division","Udinese","G. Angella"
"803","Gaël Kakuta",6000000,"Attacking Midfield","French first division","Amiens SC","G. Kakuta"
"804","Gaëtan Bong",1500000,"Left-Back","English first division","Brighton & Hove Albion","G. Bong"
"805","Gaëtan Laborde",4000000,"Centre-Forward","French first division","Bordeaux","G. Laborde"
"806","Gaetano Letizia",1500000,"Right-Back","Italian first division","Benevento","G. Letizia"
"807","Gaku Shibasaki",1800000,"Central Midfield","Spanish first division","Getafe","G. Shibasaki"
"808","Ganso",2000000,"Attacking Midfield","Spanish first division","Sevilla","Ganso"
"809","Gareth Barry",1000000,"Defensive Midfield","English first division","West Bromwich Albion","G. Barry"
"810","Gareth McAuley",1000000,"Centre-Back","English first division","West Bromwich Albion","G. McAuley"
"811","Gary Cahill",15000000,"Centre-Back","English first division","Chelsea","G. Cahill"
"812","Gastón Ramírez",10000000,"Attacking Midfield","Italian first division","Sampdoria","G. Ramírez"
"813","Gauthier Hein",NA,"Right Winger","French first division","Metz","G. Hein"
"814","Genki Haraguchi",3500000,"Attacking Midfield","German first division","Hertha BSC","G. Haraguchi"
"815","Geoff Cameron",2500000,"Centre-Back","English first division","Stoke City","G. Cameron"
"816","Geoffrey Kondogbia",30000000,"Defensive Midfield","Spanish first division","Valencia","G. Kondogbia"
"817","George Puscas",2800000,"Centre-Forward","Italian first division","Benevento","G. Puşcaş"
"818","Georges Gope-Fenepej",NA,"Left Midfield","French first division","Amiens SC","G. Gope-Fenepej"
"819","Georges Mandjeck",1000000,"Defensive Midfield","French first division","Metz","G. Mandjeck"
"820","Georges-Kevin N'Koudou",7000000,"Left Winger","English first division","Tottenham Hotspur","G. N'Koudou"
"821","Georginio Wijnaldum",30000000,"Central Midfield","English first division","Liverpool","G. Wijnaldum"
"822","Gerard Deulofeu",14000000,"Centre-Forward","English first division","Watford","Deulofeu"
"823","Gerard Gumbau",1500000,"Defensive Midfield","Spanish first division","Leganés","Gumbau"
"824","Gerard Moreno",20000000,"Centre-Forward","Spanish first division","Espanyol","Gerard Moreno"
"825","Gerard Valentín",NA,"Right Winger","Spanish first division","Deportivo La Coruña","Gerard Valentín"
"826","Gerónimo Poblete",1500000,"Defensive Midfield","French first division","Metz","G. Poblete"
"827","Gerónimo Rulli",10000000,"Goalkeeper","Spanish first division","Real Sociedad","G. Rulli"
"828","Gerrit Holtmann",2000000,"Left Winger","German first division","Mainz 05","G. Holtmann"
"829","Gerson",10000000,"Central Midfield","Italian first division","Roma","Gerson"
"830","Gerzino Nyamsi",NA,"Centre-Back","French first division","Rennes","G. Nyamsi"
"831","Giacomo Bonaventura",23000000,"Central Midfield","Italian first division","Milan","G. Bonaventura"
"832","Giampaolo Pazzini",NA,"Centre-Forward","Italian first division","Hellas Verona","G. Pazzini"
"833","Gian Filippo Felicioli",NA,"Left-Back","Italian first division","Hellas Verona","G. Felicioli"
"834","Gian Marco Ferrari",10000000,"Centre-Back","Italian first division","Sampdoria","G. Ferrari"
"835","Giancarlo González",1400000,"Centre-Back","Italian first division","Bologna","G. González"
"836","Gianluca Caprari",7500000,"Second Striker","Italian first division","Sampdoria","G. Caprari"
"837","Gianluca Di Chiara",1500000,"Left-Back","Italian first division","Benevento","G. Di Chiara"
"838","Gianluca Gaudino",NA,"Central Midfield","Italian first division","Chievo","G. Gaudino"
"839","Gianluca Lapadula",7000000,"Centre-Forward","Italian first division","Genoa","G. Lapadula"
"840","Gianluca Mancini",2000000,"Centre-Back","Italian first division","Atalanta","G. Mancini"
"841","Gianluca Pegolo",NA,"Goalkeeper","Italian first division","Sassuolo","G. Pegolo"
"842","Gianluca Scamacca",NA,"Centre-Forward","Italian first division","Sassuolo","G. Scamacca"
"843","Gianluigi Donnarumma",40000000,"Goalkeeper","Italian first division","Milan","G. Donnarumma"
"844","Giannelli Imbula",6000000,"Defensive Midfield","French first division","Toulouse","G. Imbula"
"845","Gideon Jung",3000000,"Centre-Back","German first division","Hamburger SV","G. Jung"
"846","Gil Dias",3000000,"Right Winger","French first division","Monaco","Gil Dias"
"847","Gilles Sunu",1500000,"Attacking Midfield","French first division","Angers","G. Sunu"
"848","Giovani Lo Celso",30000000,"Central Midfield","French first division","PSG","G. Lo Celso"
"849","Giovanni Crociata",NA,"Central Midfield","Italian first division","Crotone","G. Crociata"
"850","Giovanni Simeone",25000000,"Centre-Forward","Italian first division","Fiorentina","G. Simeone"
"851","Giovanni Sio",3500000,"Centre-Forward","French first division","Montpellier","G. Sio"
"852","Giovanni Volpicelli",NA,"Central Midfield","Italian first division","Benevento","G. Volpicelli"
"853","Giulio Donati",3500000,"Right-Back","German first division","Mainz 05","G. Donati"
"854","Giuseppe Pezzella",3000000,"Left-Back","Italian first division","Udinese","G. Pezzella"
"855","Giuseppe Rossi",1000000,"Centre-Forward","Italian first division","Genoa","G. Rossi"
"856","Glen Johnson",2500000,"Right-Back","English first division","Stoke City","G. Johnson"
"857","Glenn Murray",3000000,"Centre-Forward","English first division","Brighton & Hove Albion","G. Murray"
"858","Godfred Donsah",10000000,"Central Midfield","Italian first division","Bologna","G. Donsah"
"859","Gojko Kacar",NA,"Defensive Midfield","German first division","Augsburg","G. Kačar"
"860","Gonçalo Guedes",40000000,"Second Striker","French first division","PSG","Gonçalo Guedes"
"861","Gonzalo Castro",8000000,"Central Midfield","German first division","Borussia Dortmund","G. Castro"
"862","Gonzalo Escalante",2500000,"Central Midfield","Spanish first division","Eibar","G. Escalante"
"863","Gonzalo Higuaín",60000000,"Centre-Forward","Italian first division","Juventus","G. Higuaín"
"864","Goran Pandev",NA,"Second Striker","Italian first division","Genoa","G. Pandev"
"865","Gorka Iraizoz",NA,"Goalkeeper","Spanish first division","Girona","Iraizoz"
"866","Gotoku Sakai",1500000,"Left-Back","German first division","Hamburger SV","G. Sakai"
"867","Granit Xhaka",40000000,"Central Midfield","English first division","Arsenal","G. Xhaka"
"868","Grégoire Defrel",10000000,"Centre-Forward","Italian first division","Roma","G. Defrel"
"869","Grégory Sertic",4000000,"Defensive Midfield","French first division","Olympique Marseille","G. Sertic"
"870","Gregory van der Wiel",1000000,"Right-Back","Italian first division","Cagliari","G. van der Wiel"
"871","Grzegorz Krychowiak",18000000,"Defensive Midfield","English first division","West Bromwich Albion","G. Krychowiak"
"872","Guessouma Fofana",NA,"Defensive Midfield","French first division","Amiens SC","G. Fofana"
"873","Guido Burgstaller",13000000,"Centre-Forward","German first division","Schalke 04","G. Burgstaller"
"874","Guido Carrillo",15000000,"Centre-Forward","English first division","Southampton","G. Carrillo"
"875","Guido Pizarro",7500000,"Defensive Midfield","Spanish first division","Sevilla","G. Pizarro"
"876","Guilherme",3500000,"Defensive Midfield","Italian first division","Benevento","Guilherme"
"877","Guilherme Arana",5000000,"Left-Back","Spanish first division","Sevilla","Guilherme Arana"
"878","Guillaume Gillet",NA,"Defensive Midfield","French first division","Nantes","G. Gillet"
"879","Guillermo Maripán",1500000,"Centre-Back","Spanish first division","Deportivo Alavés","G. Maripán"
"880","Gustavo Cabral",2500000,"Centre-Back","Spanish first division","Celta de Vigo","G. Cabral"
"881","Guy N'Gosso",NA,"Defensive Midfield","French first division","Amiens SC","G. N'Gosso"
"882","Gylfi Sigurdsson",30000000,"Attacking Midfield","English first division","Everton","G. Sigurðsson"
"883","Habib Diallo",1500000,"Centre-Forward","French first division","Metz","H. Diallo"
"884","Habib Maïga",1200000,"Defensive Midfield","French first division","Saint-Étienne","H. Maïga"
"885","Hal Robson-Kanu",2500000,"Centre-Forward","English first division","West Bromwich Albion","H. Robson-Kanu"
"886","Hamari Traoré",6000000,"Right-Back","French first division","Rennes","H. Traoré"
"887","Hamza Choudhury",1000000,"Defensive Midfield","English first division","Leicester City","H. Choudhury"
"888","Hamza Mendyl",NA,"Left-Back","French first division","Lille","H. Mendyl"
"889","Hans Hateboer",7000000,"Right-Back","Italian first division","Atalanta","H. Hateboer"
"890","Harrison Manzala",1500000,"Right Winger","French first division","Amiens SC","H. Manzala"
"891","Harry Arter",7000000,"Central Midfield","English first division","AFC Bournemouth","H. Arter"
"892","Harry Kane",150000000,"Centre-Forward","English first division","Tottenham Hotspur","H. Kane"
"893","Harry Maguire",25000000,"Centre-Back","English first division","Leicester City","H. Maguire"
